frame_index,robot_timestamp_s,received_wall_time_s,timestamp,actual_q,actual_TCP_pose,target_current,actual_current,actual_current_window,urTimestamp,timer,wcrIn,weldCurrent,weldVoltage,xOffset,zOffset,BotRight_Plus,TopLeft_Minus,StandardCurrent,allIntegral,xUp,xUi,zUp,zUi,x,y,z,weldingOnOff,touchOnOff,ratioT_19,tri_count,tri_2,output_double_register_23,peak_value,Arc_percent,ARC_T_Plus,output_double_register_27,output_double_register_28,output_double_register_29,BotRight_Plus_VA,TopLeft_Minus_VA,output_double_register_32
18506,17609.912,1778822290.5674145,17609.912,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18507,17609.92,1778822290.5674145,17609.92,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18508,17609.928,1778822290.5684147,17609.928,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18509,17609.935999999998,1778822290.5684147,17609.935999999998,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18510,17609.944,1778822290.5694153,17609.944,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18511,17609.951999999997,1778822290.5694153,17609.951999999997,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18512,17609.96,1778822290.5709348,17609.96,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18513,17609.968,1778822290.5709348,17609.968,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18514,17609.976,1778822290.5719454,17609.976,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18515,17609.984,1778822290.5719454,17609.984,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
